Code	Parents	Parent plasmid
PKW191		
PKW1910		pKW657
PKW1911		pKW657
PKW1912		pKW657
PKW1913		pKW657
PKW1914		pKW1314
PKW1915		
PKW1916		pKW1329
PKW1917		pKW1329
PKW1918		pKW1329
PKW1919		pKW1329
PKW192		pKW350 - pRS316
PKW1920		pKW1329
PKW1921		
PKW1922		
PKW1923		pSV272
PKW1924		
PKW1925	/MATERIALS/US2103 /MATERIALS/US2104	pKW1924
PKW1926	/MATERIALS/US2103 /MATERIALS/US2104	pKW1924
PKW1927		pKW1924
PKW1928		
PKW1929		
PKW193		pKW15 - pVT102-U
PKW1930		
PKW1931		
PKW1932		
PKW1933		
PKW1934		
PKW1935		
PKW1936		
PKW1937		pKW1472
PKW1938		pKW1833
PKW1939		pKW1050
PKW194		pSG5
PKW1940		
PKW1941		
PKW1942		
PKW1943		pALR10
PKW1944		
PKW1945		
PKW1946		
PKW1947		
PKW1948		
PKW1949		
PKW195		pRSET A
PKW1950	/MATERIALS/US2143 /MATERIALS/US2144	pKW656
PKW1951	/MATERIALS/US2143 /MATERIALS/US2144	pKW710
PKW1952		pKW589
PKW1953		
PKW1954		pAC-6
PKW1955		
PKW1956		
PKW1957		
PKW1958		
PKW1959		
PKW196		pRSET B
PKW1960		
PKW1961		
PKW1962		pDH5
PKW1963		
PKW1964		
PKW1965		
PKW1966		
PKW1967		
PKW1968	/MATERIALS/US2396 /MATERIALS/US2397	pKW1648
PKW1969		pKW1833
PKW197		pRSET C
PKW1970		pKW657
PKW1971		pKW657
PKW1972		pKW1969
PKW1973		
PKW1974	/MATERIALS/US2172 /MATERIALS/US2173	pKW656
PKW1975	/MATERIALS/US2172 /MATERIALS/US2173	pKW710
PKW1976	/MATERIALS/US2188 /MATERIALS/US2189	pKW656
PKW1977	/MATERIALS/US2188 /MATERIALS/US2189	pKW710
PKW1978		
PKW1979		
PKW198		pSG5
PKW1980		
PKW1981	/MATERIALS/US2166 /MATERIALS/US2167	pKW348
PKW1982		pKW1954
PKW1983		pKW345
PKW1984		pKW1901
PKW1985		
PKW1986		
PKW1987		
PKW1988		
PKW1989		
PKW199		pRC/CMV
PKW1990		
PKW1991		pKW1966
PKW1992	/MATERIALS/US2225 /MATERIALS/US2226	pKW656
PKW1993	/MATERIALS/US2225 /MATERIALS/US2226	pKW710
PKW1994	/MATERIALS/US2225 /MATERIALS/US2226	pKW1965
PKW1995		
PKW1996		pKW350
PKW1997	/MATERIALS/US2225 /MATERIALS/US2226	pKW1966
PKW1998	/MATERIALS/US2271 /MATERIALS/US2272	pGEX4T-1
PKW1999		
PKW2		
PKW20		pUEXI
PKW200		pRC/CMV
PKW2000		pKW708
PKW2001		pKW1606
PKW2002	/MATERIALS/US2205 /MATERIALS/US2206	pKW1981
PKW2003	/MATERIALS/US2008 /MATERIALS/US2009	pKW1981
PKW2004		pKW657
PKW2005		pKW1455
PKW2006		pKW1833
PKW2007		pKW1833
PKW2008		pKW1833
PKW2009		pKW1833
PKW201		pBluescript SK-
PKW2010		pKW1833
PKW2011		pKW1988
PKW2012		pKW2006
PKW2013		pKW2007
PKW2014		pKW2008
PKW2015		pKW2009
PKW2016		pKW2010
PKW2017		pRS305
PKW2018	/MATERIALS/US2271 /MATERIALS/US2272	pKW1954
PKW2019	/MATERIALS/US2285 /MATERIALS/US2286	pKW2000
PKW202		pBluescript SK-
PKW2020		pKW1809
PKW2021		pKW1810
PKW2022		pKW2001
PKW2023	/MATERIALS/US2287 /MATERIALS/US2288	pKW2019
PKW2024		
PKW2025		pKW2011
PKW2026		pKW1987
PKW2027		pKW1989
PKW2028		
PKW2029		
PKW203		lafmid BA
PKW2030		
PKW2031		pKW1788
PKW2032		
PKW2033		pKW2024
PKW2034		pET3a
PKW2035		pET3a
PKW2036	/MATERIALS/US2287 /MATERIALS/US2288	pKW2023
PKW2037		pKW2023
PKW2038		pKW2023
PKW2039		pKW2023
PKW204		pBluescript KS+
PKW2040		pKW2023
PKW2041		pKW2024
PKW2042		pkw1611
PKW2043		
PKW2044		pKW1833
PKW2045		pKW657
PKW2046		
PKW2047		pKW2044
PKW2048		pKW2044
PKW2049		pKW708
PKW205		pET3a
PKW2050		pKW1954
PKW2051		pKW1954
PKW2052	/MATERIALS/US2244 /MATERIALS/US2445	pKW1999
PKW2053		pKW1999
PKW2054		pKW1999
PKW2055		pKW1968
PKW2056	/MATERIALS/US2349 /MATERIALS/US2359	pRS313(pKW347)
PKW2057		
PKW2058		
PKW2059		pKW1833
PKW206		pBSII-KS+
PKW2060		pKW657
PKW2061	/MATERIALS/US2396 /MATERIALS/US2397	pKW1648
PKW2062		pKW2054
PKW2063		pKW2054
PKW2064		
PKW2065		pKW2059
PKW2066		pKW2059
PKW2067		pKW1901
PKW2068		
PKW2069		
PKW207		pBluescript SK-
PKW2070		
PKW2071		pKW 2064
PKW2072		pKW2064
PKW2073		pKW353
PKW2074		pKW353
PKW2075		pKW353
PKW2076		pKW2074
PKW2077		
PKW2078		
PKW2079		
PKW208		pDS-56H
PKW2080		
PKW2081		
PKW2082		
PKW2083		
PKW2084		
PKW2085		
PKW2086		
PKW2087		
PKW2088		
PKW2089		
PKW209		pUEXI
PKW2090		
PKW2091		
PKW2092		
PKW2093		
PKW2094		
PKW2095		
PKW2096		
PKW2097		
PKW2098		
PKW2099		
PKW21		pUEXI
PKW210		pUEXI
PKW2100		
PKW2101		
PKW2102		
PKW2103		
PKW2104		
PKW2105		
PKW2106		
PKW2107		
PKW2108		
PKW2109		
PKW211		pUEXI
PKW2110		
PKW2111		
PKW2112	/MATERIALS/US2515 /MATERIALS/US2516	pKW503
PKW2113		pKW710
PKW2114		pKW2049
PKW2115		pKW2049
PKW2116		pKW2049
PKW2117		
PKW2118		
PKW2119		
PKW212		pUEXI
PKW2120		
PKW2121		pKW2022
PKW2122		pKW2121
PKW2123		pKW2122
PKW2124		pKW656
PKW2125	/MATERIALS/US2450 /MATERIALS/US2513	pKW2034
PKW2126	/MATERIALS/US2450 /MATERIALS/US2513	pKW2035
PKW2127		pKW1253
PKW2128		
PKW2129		
PKW213		pUEXI
PKW2130		
PKW2131		
PKW2132		pkw503
PKW2133		pKW2049
PKW2134		
PKW2135		
PKW2136		
PKW2137		pKW606
PKW2138		pKW606
PKW2139		pKW710
PKW214		pUEXI
PKW2140		pKW656
PKW2141	/MATERIALS/US2556 /MATERIALS/US2557	pKW1615
PKW2142	/MATERIALS/US2556 /MATERIALS/US2557	pKW1915
PKW2143	/MATERIALS/US2556 /MATERIALS/US2557	pKW1915
PKW2144	/MATERIALS/US2556 /MATERIALS/US2557	pKW1915
PKW2145		pKW2074
PKW2146		pKW2074
PKW2147		pKW2073
PKW2148		pKW2073
PKW2149		pKW1833
PKW215		pUEXI
PKW2150		pKW1906
PKW2151		pKW1916
PKW2152		pKW1916
PKW2153	/MATERIALS/US2596 /MATERIALS/US2597	pKW1915
PKW2154		pKW2056
PKW2155		
PKW2156		
PKW2157		
PKW2158		pKW2149
PKW2159		pKW1608
PKW216		pUEXI
PKW2160		pRS304
PKW2161		
PKW2162	/MATERIALS/US2559 /MATERIALS/US2560	pKW2061
PKW2163		pKW349
PKW2164		pKW1608
PKW2165		pKW1683
PKW2166		pKW1273
PKW2167		pKW656
PKW2168		pKW1683
PKW2169		pKW2073
PKW217		pUEXI
PKW2170		pKW2073
PKW2171		pKW2073
PKW2172		pKW2073
PKW2173		pKW1368
PKW2174		pKW589
PKW2175		pKW788
PKW2176	/MATERIALS/US2446 /MATERIALS/US2447	pKW2051
PKW2177	/MATERIALS/US2448 /MATERIALS/US2449	pKW2054
PKW2178		pKW1618
PKW2179		pKW1618
PKW218		pUEXI
PKW2180		pKW1618
PKW2181		pKW788
PKW2182		
PKW2183		pKW503
PKW2184		pKW1834
PKW2185		pKW503
PKW2186		pKW1834
PKW2187		pKW503
PKW2188		pKW2173
PKW2189		PKW656
PKW219		pUEXI
PKW2190		pKW656
PKW2191		pKW1834
PKW2192		pKW2163
PKW2193		pKW2189
PKW2194		pKW2190
PKW2195		
PKW2196		
PKW2197		pKW2112 (1xDendra)
PKW2198		pKW2112 (1xDendra)
PKW2199		pKW2197 (2xDendra)
PKW22		pUEXI
PKW220		pUEXI
PKW2200	/MATERIALS/US2663 /MATERIALS/US2688	pKW1459 - pSV271-Nup159
PKW2201	/MATERIALS/US2663 /MATERIALS/US2689	pKW1459 - pSV271-NUP159NTD
PKW2202		pkw2132
PKW2203		
PKW2204	/MATERIALS/US2609 /MATERIALS/US2611	pkW2197
PKW2205		pKW2198
PKW2206		pKW2199
PKW2207		pKW656
PKW2208		pKW656
PKW2209		pKW1368
PKW221		pUEXI
PKW2210		pKW2192
PKW2211	/MATERIALS/US2748 /MATERIALS/US2770	pKW2190
PKW2212	/MATERIALS/US2748 /MATERIALS/US2770	pKW2193
PKW2213		
PKW2214		
PKW2215		
PKW2216		
PKW2217		
PKW2218		pKW1964
PKW2219		pDONR 221 P1-P5r
PKW222		pUEXI
PKW2220		pDONR 221 P5 - P4
PKW2221		pDONR 221 P4r - P3
PKW2222		pDONR 221 P3 - P2
PKW2223		pDEST17
PKW2224		
PKW2225		
PKW2226		
PKW2227		
PKW2228		
PKW2229		
PKW223		pUEXI
PKW2230		
PKW2231		
PKW2232		
PKW2233		
PKW2234		
PKW2235		
PKW2236		
PKW2237		
PKW2238		
PKW2239		pkw350
PKW224		pUEXI
PKW2240		P
PKW2241		P
PKW2242		P
PKW2243		pKW343
PKW2244		pkw2239
PKW2245		pkw2239
PKW2246		pkw2239
PKW2247		pkw2246
PKW2248		pkw2246
PKW2249		pKW606
PKW225		pUEXI
PKW2250		
PKW2251		
PKW2252		
PKW2253		
PKW2254		
PKW2255		
PKW2256		
PKW2257		
PKW2258		
PKW2259		
PKW226		pUEXI
PKW2260		
PKW2261		
PKW2262		
PKW2263		
PKW2264		
PKW2265		
PKW2266		
PKW2267		
PKW2268		
PKW2269		pKW2137
PKW227		pUEXI
PKW2270		pKW2225
PKW2271		pKW2228
PKW2272		pKW2230
PKW2273		pKW2230
PKW2274		
PKW2275		
PKW2276		pKW657
PKW2277		pKW657
PKW2278		pKW657
PKW2279		pKW657
PKW228		pBluescript KS+
PKW2280		
PKW2281		
PKW2282		
PKW2283		
PKW2284		pKW503
PKW2285		pKW2284
PKW2286		pKW2284
PKW2287		pKW2284
PKW2288		pKW348
PKW2289		pKW349
PKW229		pKW146 - pSGK-21
PKW2290		pKW2162
PKW2291	/MATERIALS/US2930 /MATERIALS/US2931	pKW2162
PKW2292	/MATERIALS/US1647 /MATERIALS/US2871	pKW1677
PKW2293		pKW2138
PKW2294		pKW629
PKW2295		pKW1833
PKW2296		pKW1833
PKW2297		pKW1833
PKW2298		pKW1938
PKW2299		pKW2295
PKW23		pUEXI
PKW230		pRSET B
PKW2300		pKW2296
PKW2301		pKW2297
PKW2302		pKW709
PKW2303		pKW1608
PKW2304		pkw2239
PKW2305		2132
PKW2306		pkw2239
PKW2307		
PKW2308		pkw2132
PKW2309		pkw2132
PKW231		pRSET B
PKW2310		pkw2132
PKW2311		pkw2132
PKW2312		2239
PKW2313		pkw2306
PKW2314		pkw2132
PKW2315		pkw2132
PKW2316		
PKW2317		2306
PKW2318		pkw2306
PKW2319		pkw2306
PKW232		pSG8M
PKW2320		pkw2306
PKW2321		pkw2304
PKW2322		pkw2304
PKW2323		pkw2304
PKW2324		pkw2304
PKW2325		pkw2304
PKW2326		PKW2173
PKW2327		PKW2207
PKW2328		PKW2208
PKW2329		PKW2327
PKW233		
PKW2330		PKW2328
PKW2331		PKW2327
PKW2332		PKW2328
PKW2333		PKW2327
PKW2334		
PKW2335		PKW2328
PKW2336		
PKW2337		
PKW2338		
PKW2339		pKW2218
PKW234		
PKW2340		pKW2218
PKW2341		
PKW2342		pKW980
PKW2343	/MATERIALS/US3066 /MATERIALS/US3068	pKW1954
PKW2344	/MATERIALS/US3066 /MATERIALS/US3067	pKW1954
PKW2345		pKW503
PKW2346		
PKW2347		
PKW2348		
PKW2349		pKW2131
PKW235		pBluescript
PKW2350	/MATERIALS/US3078 /MATERIALS/US3079	pKW2131
PKW2351	/MATERIALS/US3081 /MATERIALS/US3082	pKW2240
PKW2352	/MATERIALS/US3081 /MATERIALS/US3082	pKW2218
PKW2353		pKW1834 - pRS GFP-Nup1
PKW2354		pKW2353 - pRS304 Nup1 scr
PKW2355	/MATERIALS/US3109 /MATERIALS/US3110	pKW2131
PKW2356		pKW2306
PKW2357		pkw2306
PKW2358		pKW2304
PKW2359		pKW2304
PKW236		pBluescript
PKW2360		pKW2304
PKW2361		
PKW2362		
PKW2363		
PKW2364		
PKW2365		
PKW2366		
PKW2367		
PKW2368		pKW1316
PKW2369		pKW1316
PKW237		pBluescript
PKW2370		pKW1316
PKW2371		pKW1316
PKW2372		pKW1316
PKW2373		pKW1316
PKW2374		pKW1316
PKW2375		pKW1316
PKW2376	/MATERIALS/US3116 /MATERIALS/US3118	pKW1677 - pSV272 Gfd1
PKW2377	/MATERIALS/US3117 /MATERIALS/US3119	pKW1677 - pSV272 Gfd1
PKW2378	/MATERIALS/US3116 /MATERIALS/US3119	pKW1677
PKW2379	/MATERIALS/US3091 /MATERIALS/US3093	pKW2162
PKW238		pBluescript
PKW2380	/MATERIALS/US3092 /MATERIALS/US3093	pKW1648
PKW2381	/MATERIALS/US3092 /MATERIALS/US3094	pKW1648
PKW2382	/MATERIALS/US3125 /MATERIALS/US3126	pKW1629
PKW2383		
PKW2384		
PKW2385	/MATERIALS/US3143 /MATERIALS/US3144	pKW2328 - pFA6a-3xDendra-CaURA3
PKW2386	/MATERIALS/US3151 /MATERIALS/US3152	pKW2328 - pFA6a-3xDendra-CaURA3
PKW2387		pKW1585
PKW2388		pKW1587
PKW2389		pKW1659
PKW239		pBluescript
PKW2390		pKW2328
PKW2391	/MATERIALS/US3147 /MATERIALS/US3148	pKW2390
PKW2392	/MATERIALS/US3155 /MATERIALS/US3156	pKW2390
PKW2393		pKW1
PKW2394		
PKW2395		pMW172
PKW2396		pGEX-TEV
PKW2397		pkw657
PKW2398		pKW2326
PKW2399		pKW2209
PKW24		pUEXI
PKW240		pBluescript
PKW2400		pRS424
PKW2401	/MATERIALS/US3157 /MATERIALS/US3158	pKW2355
PKW2402		pKW710
PKW2403		pKW710
PKW2404		pKW953
PKW2405		pKW352
PKW2406		pKW352
PKW2407		pKW1809
PKW2408		pKW2407
PKW2409		pKW2407
PKW241		pBluescript
PKW2410	/MATERIALS/US3188 /MATERIALS/US3189	pKW656
PKW2411	/MATERIALS/US3188 /MATERIALS/US3189	pKW710
PKW2412		pKW2355
PKW2413		pKW1532 - pET YFP-Impb
PKW2414		
PKW2415		
PKW2416	/MATERIALS/US3194 /MATERIALS/US3195	pKW710
PKW2417	/MATERIALS/US3194 /MATERIALS/US3195	pKW656
PKW2418	/MATERIALS/US3194 /MATERIALS/US3195	pKW710
PKW2419	/MATERIALS/US3194 /MATERIALS/US3195	pKW656
PKW242		pBluescript
PKW2420		pKW2304
PKW2421		pkw2312
PKW2422		pkw2313
PKW2423		pKW1964
PKW2424		pKW1964
PKW2425		
PKW2426		
PKW2427		
PKW2428		
PKW2429	/MATERIALS/US3267 /MATERIALS/US3268	pKW622 - pCM189
PKW243		pBluescript
PKW2430	/MATERIALS/US3267 /MATERIALS/US3268	pKW622 - pCM189
PKW2431	/MATERIALS/US3267 /MATERIALS/US3268	pKW346 - pRS316-G
PKW2432		pKW346 - pRS316-G
PKW2433		pET3aTr
PKW2434		pET3aTr
PKW2435		pET3aTr
PKW2436		pET3aTr
PKW2437		pET3aTr
PKW2438		pST39
PKW2439		pKW2438
PKW244		pBluescript
PKW2440		pKW2439
PKW2441		pKW2440
PKW2442		pST39
PKW2443		pKW2442
PKW2444		pKW2443
PKW2445		pKW2444
PKW2446		pKW1329
PKW2447		pKW348
PKW2448		pKW1
PKW2449		pKW1
PKW245		pBluescript
PKW2450		pKW1
PKW2451		pKW1
PKW2452		pKW1
PKW2453		pKW1
PKW2454		pSV271
PKW2455		pSV271
PKW2456		pSV272
PKW2457		pKW2149
PKW2458		pKW2149
PKW2459		pKW1322
PKW246		pBluescript
PKW2460		pKW1322
PKW2461		pKW1322
PKW2462		pKW2149
PKW2463		pKW1446
PKW2464		pKW1446
PKW2465		pSV271
PKW2466		pSV271
PKW2467		pSV271
PKW2468		pSV271
PKW2469		
PKW247		pBluescript
PKW2470		pET30-a(+)
PKW2471		
PKW2472		pKW2463
PKW2473		pKW2463
PKW2474		pKW2464
PKW2475		pKW2464
PKW2476		pKW2131
PKW2477		pKW2131
PKW2478		pKW2131
PKW2479		pSV271
PKW248		pBluescript
PKW2480		pSV271
PKW2481		pSV271
PKW2482		pSV271
PKW2483		pSV271
PKW2484		pSV271
PKW2485		pSV271
PKW2486		pSV271
PKW2487		pKW2478
PKW2488		
PKW2489		
PKW249		pBluescript
PKW2490		
PKW2491		
PKW2492		
PKW2493		
PKW2494		pKW2355
PKW2495		pKW2355
PKW2496		
PKW2497	/MATERIALS/US3508 /MATERIALS/US3509	pKW2487
PKW2498		pSV271
PKW2499		pSV271
PKW25		pUEXI
PKW250		pBluescript
PKW2500		pSV271
PKW2501		pSV271
PKW2502		pKW2327
PKW2503		PKW2328
PKW2504		
PKW2505		pkw345
PKW2506		
PKW2507		
PKW2508		pKW2347
PKW2509		pKW2131
PKW251		pBluescript
PKW2510		pKW2131
PKW2511		
PKW2512		
PKW2513		
PKW2514		pKW2487
PKW2515		pKW2437
PKW2516		pKW794
PKW2517		pKW2515
PKW2518		pKW2337
PKW2519		pKW2495
PKW252		pBluescript
PKW2520		pKW2495
PKW2521		
PKW2522		
PKW2523		pKW1669
PKW2524		
PKW2525		pkw759
PKW2526		
PKW2527		
PKW2528		
PKW2529		
PKW253		pBluescript
PKW2530		
PKW2531		
PKW2532		
PKW2533		pKW 1809
PKW2534		pKW760
PKW2535		pKW2460
PKW2536		pKW2487
PKW2537		pKW2327
PKW2538	/MATERIALS/US3729 /MATERIALS/US3730	pKW785(pRS403)
PKW2539	/MATERIALS/US3725 /MATERIALS/US3726	pKW2538
PKW254		pBluescript
PKW2540		pKW1809
PKW2541		pRS403
PKW2542		PKW347
PKW2543		
PKW2544		
PKW2545		
PKW2546		
PKW2547		
PKW2548		pKW2327
PKW2549		pKW2487
PKW255		pBluescript
PKW2550		
PKW2551		
PKW2552		
PKW2553		
PKW2554		pSV271
PKW2555		pSV271
PKW2556		pKW348
PKW2557		pKW348
PKW2558		
PKW2559	/MATERIALS/US3518 /MATERIALS/US3785	pKW1322
PKW256		pBluescript
PKW2560	/MATERIALS/US3902 /MATERIALS/US3903	pKW760
PKW2561		pKW349
PKW2562		pSV271
PKW2563		pSV271
PKW2564		pSV271
PKW2565		pSV271
PKW2566		pSV271
PKW2567		pSV271
PKW2568		pSV271
PKW2569		pSV271
PKW257		pBluescript
PKW2570		pSV272
PKW2571		pKW1759
PKW2572		
PKW2573		
PKW2574		pKW786
PKW2575	/MATERIALS/US3927 /MATERIALS/US3928	pKW2574
PKW2576	/MATERIALS/US3925 /MATERIALS/US3926	pKW2574
PKW2577	/MATERIALS/US3484 /MATERIALS/US3485	pGEM-T
PKW2578		
PKW2579	/MATERIALS/US3943 /MATERIALS/US3944	pKW2574
PKW258		pBluescript
PKW2580	/MATERIALS/US3518 /MATERIALS/US3916	pKW1322
PKW2581		pKW2548
PKW2582		pKW2548
PKW2583		pKW1322
PKW2584		pKW1322
PKW2585		pKW1322
PKW2586		pKW1322
PKW2587		pKW350(pRS316)
PKW2588		pKW350
PKW2589	/MATERIALS/US22 /MATERIALS/US3481	pKW348 (pRS314)
PKW259		pBluescript
PKW2590	/MATERIALS/US22 /MATERIALS/US3481	pKW348 (pRS314)
PKW2591	/MATERIALS/US22 /MATERIALS/US3481	pKW350 (pRS316)
PKW2592	/MATERIALS/US22 /MATERIALS/US3481	pKW350 (pRS316)
PKW2593		pKW1322
PKW2594		pKW1322
PKW2595		pKW1322
PKW2596		pKW1322
PKW2597		pKW2407
PKW2598	/MATERIALS/US4004 /MATERIALS/US4005	pKW2382
PKW2599		pKW1668
PKW26		pBluescript
PKW260		pBluescript
PKW2600		pKW2496
PKW2601	/MATERIALS/US4040 /MATERIALS/US4041	pKW2579
PKW2602		pkw2579
PKW2603		
PKW2604		
PKW2605		from Glick lab
PKW2606		
PKW2607		
PKW2608		
PKW2609		
PKW261		pBluescript
PKW2610		
PKW2611		
PKW2612		
PKW2613		
PKW2614		pkw2624
PKW2615		pkw2611
PKW2616		
PKW2617		
PKW2618		
PKW2619		
PKW262		pKW259 - p-muscle51
PKW2620		
PKW2621		
PKW2622	/MATERIALS/US2518 /MATERIALS/US3916	pKW1322
PKW2623		pKW2572
PKW2624		pKW2579
PKW2625		
PKW2626		pKW788
PKW2627		pGem-T
PKW2628		pKW2583
PKW2629		pKW2583
PKW263		pKW260 - p-muscle62
PKW2630		pKW2583
PKW2631		pKW2412
PKW2632		
PKW2633		
PKW2634		
PKW2635		pKW1459
PKW2636		pKW1459
PKW2637		
PKW2638		pKW1669
PKW2639		
PKW264		pJN38
PKW2640		pKW1829
PKW2641		pKW1829
PKW2642		pKW2407
PKW2643		pKW2407
PKW2644	/MATERIALS/US4188 /MATERIALS/US4189	pKW2321
PKW2645	/MATERIALS/US4188 /MATERIALS/US4189	pKW2321
PKW2646	/MATERIALS/US4188 /MATERIALS/US4189	pKW2321
PKW2647	/MATERIALS/US4188 /MATERIALS/US4189	pKW2321
PKW2648		
PKW2649		pKW1689
PKW265		pKW16 - pNPI-FL
PKW2650		pKW1689
PKW2651		pKW1689
PKW2652		
PKW2653	/MATERIALS/US4234 /MATERIALS/US4235	pKW1689
PKW2654	/MATERIALS/US4265 /MATERIALS/US4266	pKW1689
PKW2655		
PKW2656		
PKW2657		
PKW2658		pKW760
PKW2659		pKW2658
PKW266		pKW16 - pNPI-FL
PKW2660		
PKW2661		pKW1008
PKW2662		
PKW2663		pKW2662
PKW2664	/MATERIALS/US4372 /MATERIALS/US4373	pKW1689
PKW2665	/MATERIALS/US4376 /MATERIALS/US4377	pKW1689
PKW2666		
PKW2667		pKW2131
PKW2668	/MATERIALS/US4236 /MATERIALS/US4237	pKW2572
PKW2669		pKW786
PKW267		pRSET C
PKW2670		pKW2460
PKW2671		pKW2460
PKW2672		pKW2670
PKW2673		pKW2670
PKW2674		pKW2670
PKW2675		pKW2670
PKW2676		pKW2487
PKW2677		pKW2487
PKW2678		
PKW2679		
PKW268		pRSET C
PKW2680		pKW2676
PKW2681		pKW350
PKW2682		pKW2487
PKW2683		
PKW2684		pKW2682
PKW2685		pFA6a cNLS-yEGFP-HA- pKW2682
PKW2686		pKW2669
PKW2687		
PKW2688		pKW2407
PKW2689	/MATERIALS/US4497 /MATERIALS/US4499	pKW1689
PKW269		pBluescript
PKW2690	/MATERIALS/US4499 /MATERIALS/US497	pKW1689
PKW2691		pKW2684
PKW2692		pKW2685
PKW2693		
PKW2694	/MATERIALS/US4528 /MATERIALS/US4529	pGemT
PKW2695	/MATERIALS/US4505 /MATERIALS/US4506	pKW1689
PKW2696	/MATERIALS/US4509 /MATERIALS/US4510	pKW1689
PKW2697		pRS306
PKW2698		pRS314
PKW2699		pRS314
PKW27		pBluescript SK-
PKW270		pBluescript
PKW2700		pRS314
PKW2701		pUG34 (pRS314-pMET25-GFP)
PKW2702		pNH605-pCYC1
PKW2703	/MATERIALS/US4507 /MATERIALS/US4508	pKW1689
PKW2704	/MATERIALS/US4513 /MATERIALS/US4514	pKW1689
PKW2705	/MATERIALS/US4586 /MATERIALS/US4587	pKW2668
PKW2706		pKW2459
PKW2707		pKW2669
PKW2708		pKW760
PKW2709		pKW2638
PKW271		pKW269 - pYMP90A
PKW2710		
PKW2711		
PKW2712		
PKW2713		
PKW2714		pKW1669
PKW2715		pKW1669
PKW2716		pKW2546
PKW2717		pkw354
PKW2718		pkw354
PKW2719		pkw354
PKW272		pKW270 - pYMP90B
PKW2720		pkw354
PKW2721		760
PKW2722		760
PKW2723		pFA6a-GFP-KanMx6
PKW2724		pFA6a-GFP-TRP1
PKW2725		pFA6a-GFP-HisMx6
PKW2726		pKW2585
PKW2727		pKW2326
PKW2728		
PKW2729		
PKW273		pKW264 - pJN38
PKW2730		
PKW2731		
PKW2732		pKW2487
PKW2733		pKW2487
PKW2734		pKW2705
PKW2735		pRS304
PKW2736		pKW760
PKW2737		pKW760
PKW2738		
PKW2739		
PKW274		pKW264 - pJN38
PKW2740		
PKW2741		yCPlac22
PKW2742		yCPlac22
PKW2743		pFA6a
PKW2744		pFA6a
PKW2745		pFA6a
PKW2746		pFA6a
PKW2747		
PKW2748		
PKW2749		pKW1669
PKW275		pKW202 - HS5543
PKW2750		pKW1669
PKW2751	/MATERIALS/US4674 /MATERIALS/US4675	pKW2626
PKW2752		pkw760
PKW2753		
PKW2754		
PKW2755		
PKW2756		
PKW2757		
PKW2758		pKW785
PKW2759		
PKW276		pKW275 - pIMP90
PKW2760		
PKW2761		
PKW2762		
PKW2763		
PKW2764		
PKW2765		
PKW2766		
PKW2767		pKW 2207
PKW2768	/MATERIALS/US4685 /MATERIALS/US4686	pkw2538
PKW2769	/MATERIALS/US4683 /MATERIALS/US4684	pkw1987
PKW277		pSG5
PKW2770		
PKW2771		
PKW2772		pKW1322
PKW2773		
PKW2774		
PKW2775		
PKW2776		
PKW2777		1689
PKW2778		pkw2541
PKW2779		
PKW278		pKW163 - pEG202+4
PKW2780		1689
PKW2781		
PKW2782		
PKW2783		
PKW2784		
PKW2785		
PKW2786		
PKW2787		
PKW2788		
PKW2789		
PKW279		pKW278 - pEG IMP90 -1
PKW2790		
PKW2791		
PKW2792		pkw2312
PKW2793		pkw2312
PKW2794		
PKW2795		
PKW2796		
PKW2797		
PKW2798		
PKW2799		pkw2792
PKW28		pBluescript SK-
PKW280		pKW278 - pEG IMP90 -1
PKW2800		pkw2799
PKW2801		
PKW2802		
PKW2803		
PKW2804		
PKW2805		
PKW2806		
PKW2807		pKW1330
PKW2808		pKW1330
PKW2809		pKW1330
PKW281		pRSET A
PKW2810		pKW1330
PKW2811		pKW1324
PKW2812		pKW1324
PKW2813		
PKW2814		
PKW2815		pKW2806
PKW2816		pKW2806
PKW2817		pkw786
PKW2818		pkw1689
PKW2819		786
PKW282		pQE60
PKW2820		1689
PKW2821		pKW2809
PKW2822		pKW2810
PKW2823		pKW1330
PKW2824		pkw2244
PKW2825		
PKW2826		
PKW2827		pkw2825
PKW2828		
PKW2829		
PKW283		pKW208 - pDS-ASF1
PKW2830		
PKW2831		
PKW2832	/MATERIALS/US4896 /MATERIALS/US4897	pKW1689
PKW2833		
PKW2834		
PKW2835		
PKW2836	/MATERIALS/US3943 /MATERIALS/US4901	pKW787
PKW2837	/MATERIALS/US4155 /MATERIALS/US4766	pKW2526
PKW2838		
PKW2839		
PKW284		pKW208 - pDS-ASF1
PKW2840		
PKW2841		
PKW2842		
PKW2843		
PKW2844		
PKW2845		
PKW2846	/MATERIALS/US4896 /MATERIALS/US4898	pKW2526
PKW2847		
PKW2848		
PKW2849		
PKW285		pJG4-5
PKW2850		
PKW2851		pKW2207
PKW2852		
PKW2853		
PKW2854		pkw2820
PKW2855		2817
PKW2856		kwy2722
PKW2857		
PKW2858		
PKW2859		
PKW286		pJG4-5
PKW2860		pKW1669
PKW2861		
PKW2862		
PKW2863		
PKW2864		pKW2321
PKW2865		pKW2864
PKW2866		pKW2865
PKW2867		pKW2312
PKW2868		
PKW2869		
PKW287		pJG4-5
PKW2870		
PKW2871		
PKW2872		
PKW2873		
PKW2874		
PKW2875		
PKW2876		
PKW2877		
PKW2878		
PKW2879		
PKW288		pEG202
PKW2880		
PKW2881		
PKW2882		
PKW2883		
