TARGET	COMPOUND	DESC
Q01064	CHEMBL367927	In vitro inhibition of phosphodiesterase (PDE I).
Q01064	CHEMBL361582	Inhibition of phosphodiesterase 1
Q01064	CHEMBL369081	Inhibition of phosphodiesterase 1
Q01064	CHEMBL183150	Inhibition of phosphodiesterase 1
Q01064	CHEMBL434135	Inhibition of phosphodiesterase 1
Q01064	CHEMBL362512	Inhibitory concentration against Phosphodiesterase type 1
Q01064	CHEMBL179849	Inhibition of phosphodiesterase 1
P18405	CHEMBL24958	Inhibitory concentration was tested on human 5-alpha reductase 1 isozyme
P18405	CHEMBL285439	Inhibitory concentration was tested on human 5-alpha reductase 1 isozyme
P18405	CHEMBL29166	In vitro inhibition of DHT production in Hs 68 (human genital fibroblast) cells.
P18405	CHEMBL116493	Log of inhibitory concentration against human recombinant steroid 5-alpha-reductase type I in stably transfected chinese hamster ovary (CHO) 1827 cells using [3H]testosterone.
P18405	CHEMBL109170	Inhibition of recombinant human Steroid 5-alpha-reductase  type I
P18405	CHEMBL108305	Inhibition of recombinant human Steroid 5-alpha-reductase  type I
P18405	CHEMBL16533	In vitro inhibition of human steroid 5-alpha-reductase type I in Du-145 cells
P18405	CHEMBL17194	In vitro inhibition of human steroid 5-alpha-reductase type I in Du-145 cells
P18405	CHEMBL116830	Log of inhibitory concentration against human recombinant steroid 5-alpha-reductase type I in stably transfected chinese hamster ovary (CHO) 1827 cells using [3H]testosterone.
P18405	CHEMBL312466	Inhibitory activity against 5-alpha-reductase type 1 in cell culture system using LNCaP cells (androgen-sensitive human prostatic cancer cell line)
P18405	CHEMBL109088	Inhibition of recombinant human Steroid 5-alpha-reductase  type I
P31645	CHEMBL109517	In vitro ability of compound to inhibit 5-HT re-uptake of radiolabeled [3H]-tritium transmitter into synaptosome
P31645	CHEMBL375889	Displacement of [3H]paroxetine from 5HTT
P31645	CHEMBL563495	Inhibition of [3H]5-HT uptake at human 5HTT expressed in HEK293 cells
P31645	CHEMBL563495	Inhibition of [3H]5-HT uptake at human 5HTT expressed in HEK293 cells
P31645	CHEMBL1175	Inhibition of [3H]5-HT uptake at human 5HTT expressed in HEK293 cells
P31645	CHEMBL549965	Inhibition of [3H]5-HT uptake at human 5HTT expressed in HEK293 cells
P31645	CHEMBL551443	Inhibition of [3H]5-HT uptake at human 5HTT expressed in HEK293 cells
P31645	CHEMBL564631	Inhibition of [3H]5-HT uptake at human 5HTT expressed in HEK293 cells
P31645	CHEMBL563987	Inhibition of [3H]5-HT uptake at human 5HTT expressed in HEK293 cells
P31645	CHEMBL562108	Inhibition of [3H]5-HT uptake at human 5HTT expressed in HEK293 cells
P31645	CHEMBL479409	Inhibition of [3H]5HT reuptake at human serotonin transporter expressed in HEK293 cells
P17752	CHEMBL469463	Inhibition of TPH1
P17752	CHEMBL565307	Inhibition of human recombinant TPH1 by continuous fluorescence assay
P17752	CHEMBL479924	Inhibition of TPH1
P17752	CHEMBL470083	Inhibition of TPH1
P17752	CHEMBL569291	Inhibition of human recombinant TPH1 by continuous fluorescence assay
P17752	CHEMBL572143	Inhibition of human recombinant TPH1 by continuous fluorescence assay
P17752	CHEMBL569517	Inhibition of human recombinant TPH1 by continuous fluorescence assay
P17752	CHEMBL469480	Inhibition of TPH1
P17752	CHEMBL518324	Inhibition of TPH1
P17752	CHEMBL567452	Inhibition of human recombinant TPH1 by continuous fluorescence assay
P17752	CHEMBL469462	Inhibition of TPH1
