CODE	FORMULA	WEIGHT	SMILES
CHEMBL16533	C25 H42 N2 O2	402.61318	CCC(CC)N(C=O)[C@H]1CCC2C3CC[C@H]4N(C)C(=O)CC[C@]4(C)C3CC[C@]12C
CHEMBL17194	C27 H46 N2 O2	430.66633	CCCCCN([C@H]1CCC2C3CC[C@H]4N(C)C(=O)CC[C@]4(C)C3CC[C@]12C)C(=O)CC
CHEMBL116830	C21 H20 Cl N O2	353.842	CC1=C2CCc3cc(OCc4ccc(Cl)cc4)ccc3N2CCC1=O
CHEMBL312466	C19 H15 N O4	321.3267	C=CCc1c(OC(=O)Nc2ccccc2)ccc3C=CC(=O)Oc13
CHEMBL109088	C25 H33 N3 O2	407.54842	C[C@]12CCC3C(CCC4NC(=O)C=C[C@]34C)C1CCC2C(=O)Nc5cccc(N)c5
CHEMBL109517	C20 H25 N	279.4192	CN(C)C[C@@H]1C2CCC(C2)[C@H]1c3ccc4ccccc4c3
CHEMBL375889	C16 H20 I N O2	385.23997	COC(=O)[C@@H]1C2CCC(C[C@H]1c3ccc(I)cc3)N2C
CHEMBL563495	C16H16Cl2N2O	323.21704	Clc1cccc(OC([C@H]2CCNC2)c3ccccn3)c1Cl
CHEMBL1175	C18H19NOS	297.41456	CNCC[C@H](Oc1cccc2ccccc12)c3cccs3
CHEMBL549965	C23H24N2O2	360.44886	C1CC(CCN1)C(Oc2ccccc2Oc3ccccc3)c4cccnc4
CHEMBL551443	C19H24N2O	296.40666	CCc1cccc(OC(C2CCNCC2)c3cccnc3)c1
CHEMBL564631	C18H22N2OS	314.44508	CSc1ccc(OC(C2CCNCC2)c3cccnc3)cc1
CHEMBL563987	C17H18F2N2O	304.33442	Fc1cccc(OC(C2CCNCC2)c3cccnc3)c1F
CHEMBL562108	C17H18Cl2N2O	337.24362	Clc1ccc(OC(C2CCNCC2)c3ccccn3)c(Cl)c1
CHEMBL479409	C16H17F3N2O4S	390.37738	CN(C)Cc1cc(ccc1Oc2ccc(OC(F)(F)F)cc2)S(=O)(=O)N
CHEMBL469463	C28H27N5O2	465.54628	CCn1c2ccccc2c3cc(CNc4cnc(cn4)c5ccc(C[C@H](N)C(=O)O)cc5)ccc13
CHEMBL565307	C24H32N6O2	436.54988	CC(Nc1nc(N)nc(n1)c2ccc(C[C@H](N)C(=O)O)cc2)C34CC5CC(CC(C5)C3)C4
CHEMBL479924	C25H20F6N6O3	566.45511	N[C@@H](Cc1ccc(cc1)c2cc(OC(c3ccccc3n4ccc(n4)C(F)(F)F)C(F)(F)F)nc(N)n2)C(=O)O
CHEMBL470083	C27H26N4O2	438.52093	Cc1ccccc1c2ccccc2CNc3cnc(cn3)c4ccc(C[C@H](N)C(=O)O)cc4
CHEMBL569291	C26H26N6O2	454.52363	Cc1ccc(cc1)c2ccc(CNc3nc(N)nc(n3)c4ccc(C[C@H](N)C(=O)O)cc4)cc2
CHEMBL572143	C25H24N6O2	440.49706	N[C@@H](Cc1ccc(cc1)c2nc(N)nc(NCc3ccc(cc3)c4ccccc4)n2)C(=O)O
CHEMBL569517	C26H26N6O2	454.52364	CC(Nc1nc(N)nc(n1)c2ccc(C[C@H](N)C(=O)O)cc2)c3ccc(cc3)c4ccccc4
CHEMBL469480	C25H25N5O2	427.4983	C[C@@H](Nc1cc(nc(N)n1)c2ccc(C[C@H](N)C(=O)O)cc2)c3ccc4ccccc4c3
CHEMBL518324	C24H22N4O2	398.45708	N[C@@H](Cc1ccc(cc1)c2cnc(NCc3ccc4ccccc4c3)cn2)C(=O)O
CHEMBL567452	C25H26N6O2	442.51293	CC(C)(Nc1nc(N)nc(n1)c2ccc(C[C@H](N)C(=O)O)cc2)c3ccc4ccccc4c3
CHEMBL469462	C26H30N4O4	462.54079	COc1ccc(CNc2cnc(cn2)c3ccc(C[C@H](N)C(=O)O)cc3)c(OC4CCCC4)c1
